home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
CA Fenix;Danubio;09/09/2001;0;1;F;CA Fenix (Uruguay);Danubio (Uruguay);V;2001;9
CA Juventud;Tacuarembo Futbol Club;09/09/2001;1;3;F;CA Juventud (Uruguay);Tacuarembo Futbol Club (Uruguay);V;2001;9
Montevideo Wanderers;Defensor Sporting;09/09/2001;4;4;F;Montevideo Wanderers (Uruguay);Defensor Sporting (Uruguay);E;2001;9
Nacional;CA Penarol;09/09/2001;1;2;F;Nacional (Uruguay);CA Penarol (Uruguay);V;2001;9
CA Fenix;Nacional;15/09/2001;1;1;F;CA Fenix (Uruguay);Nacional (Uruguay);E;2001;9
CA Juventud;CA Penarol;15/09/2001;1;0;F;CA Juventud (Uruguay);CA Penarol (Uruguay);L;2001;9
Danubio;Montevideo Wanderers;15/09/2001;2;1;F;Danubio (Uruguay);Montevideo Wanderers (Uruguay);L;2001;9
Defensor Sporting;Bella Vista;15/09/2001;3;1;F;Defensor Sporting (Uruguay);Bella Vista (Uruguay);L;2001;9
Tacuarembo Futbol Club;Paysandu FC;15/09/2001;3;0;F;Tacuarembo Futbol Club (Uruguay);Paysandu FC (Uruguay);L;2001;9
CA Juventud;Bella Vista;19/09/2001;2;1;F;CA Juventud (Uruguay);Bella Vista (Uruguay);L;2001;9
Nacional;Danubio;19/09/2001;4;0;F;Nacional (Uruguay);Danubio (Uruguay);L;2001;9
Paysandu FC;Defensor Sporting;19/09/2001;4;0;F;Paysandu FC (Uruguay);Defensor Sporting (Uruguay);L;2001;9
CA Penarol;CA Fenix;20/09/2001;3;2;F;CA Penarol (Uruguay);CA Fenix (Uruguay);L;2001;9
Montevideo Wanderers;Tacuarembo Futbol Club;20/09/2001;1;0;F;Montevideo Wanderers (Uruguay);Tacuarembo Futbol Club (Uruguay);L;2001;9
Paysandu FC;Nacional;22/09/2001;1;1;F;Paysandu FC (Uruguay);Nacional (Uruguay);E;2001;9
Bella Vista;Danubio;23/09/2001;2;3;F;Bella Vista (Uruguay);Danubio (Uruguay);V;2001;9
Defensor Sporting;CA Penarol;23/09/2001;2;3;F;Defensor Sporting (Uruguay);CA Penarol (Uruguay);V;2001;9
Montevideo Wanderers;CA Juventud;23/09/2001;1;1;F;Montevideo Wanderers (Uruguay);CA Juventud (Uruguay);E;2001;9
Tacuarembo Futbol Club;CA Fenix;23/09/2001;0;1;F;Tacuarembo Futbol Club (Uruguay);CA Fenix (Uruguay);V;2001;9
Bella Vista;Montevideo Wanderers;26/09/2001;1;4;F;Bella Vista (Uruguay);Montevideo Wanderers (Uruguay);V;2001;9
CA Fenix;Defensor Sporting;26/09/2001;2;0;F;CA Fenix (Uruguay);Defensor Sporting (Uruguay);L;2001;9
CA Juventud;Nacional;26/09/2001;0;1;F;CA Juventud (Uruguay);Nacional (Uruguay);V;2001;9
Danubio;Paysandu FC;26/09/2001;5;0;F;Danubio (Uruguay);Paysandu FC (Uruguay);L;2001;9
CA Penarol;Bella Vista;29/09/2001;1;0;F;CA Penarol (Uruguay);Bella Vista (Uruguay);L;2001;9
Danubio;Defensor Sporting;29/09/2001;0;1;F;Danubio (Uruguay);Defensor Sporting (Uruguay);V;2001;9
CA Fenix;Montevideo Wanderers;30/09/2001;0;0;F;CA Fenix (Uruguay);Montevideo Wanderers (Uruguay);E;2001;9
CA Juventud;Paysandu FC;30/09/2001;2;2;F;CA Juventud (Uruguay);Paysandu FC (Uruguay);E;2001;9
