home,away,date,gh,ga,full_time,winner,year,month
Nacional,Rampla Juniors Futbol Club,1933-08-05,1,0,F,L,1933,8
Defensor Sporting,Montevideo Wanderers,1933-08-12,3,0,F,L,1933,8
Nacional,Bella Vista,1933-08-12,3,0,F,L,1933,8
Racing Club,Central Espanol,1933-08-12,1,0,F,L,1933,8
Rampla Juniors Futbol Club,CA Penarol,1933-08-12,0,2,F,V,1933,8
River Plate,Institucion Atletica Sud America,1933-08-12,0,1,F,V,1933,8
Bella Vista,Racing Club,1933-08-19,2,3,F,V,1933,8
CA Penarol,Montevideo Wanderers,1933-08-19,2,0,F,L,1933,8
Defensor Sporting,Institucion Atletica Sud America,1933-08-19,2,1,F,L,1933,8
Nacional,Central Espanol,1933-08-19,4,0,F,L,1933,8
Rampla Juniors Futbol Club,River Plate,1933-08-19,2,0,F,L,1933,8
CA Penarol,Racing Club,1933-08-26,1,0,F,L,1933,8
Defensor Sporting,River Plate,1933-08-26,0,1,F,V,1933,8
Montevideo Wanderers,Bella Vista,1933-08-26,2,0,F,L,1933,8
Nacional,Institucion Atletica Sud America,1933-08-26,1,1,F,E,1933,8
Rampla Juniors Futbol Club,Central Espanol,1933-08-26,6,3,F,L,1933,8
Bella Vista,Defensor Sporting,1933-09-02,0,4,F,V,1933,9
CA Penarol,Central Espanol,1933-09-02,8,2,F,L,1933,9
Montevideo Wanderers,Racing Club,1933-09-02,2,1,F,L,1933,9
Nacional,River Plate,1933-09-02,1,0,F,L,1933,9
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1933-09-02,3,1,F,L,1933,9
CA Penarol,River Plate,1933-09-09,2,1,F,L,1933,9
Defensor Sporting,Racing Club,1933-09-09,3,0,F,L,1933,9
Institucion Atletica Sud America,Bella Vista,1933-09-09,1,2,F,V,1933,9
Montevideo Wanderers,Central Espanol,1933-09-09,2,0,F,L,1933,9
Nacional,Rampla Juniors Futbol Club,1933-09-09,2,0,F,L,1933,9
CA Penarol,Bella Vista,1933-09-16,4,0,F,L,1933,9
Defensor Sporting,Rampla Juniors Futbol Club,1933-09-16,1,2,F,V,1933,9
Institucion Atletica Sud America,Central Espanol,1933-09-16,4,3,F,L,1933,9
Nacional,Racing Club,1933-09-16,1,1,F,E,1933,9
River Plate,Montevideo Wanderers,1933-09-16,1,1,F,E,1933,9
Bella Vista,River Plate,1933-09-23,2,1,F,L,1933,9
Central Espanol,Defensor Sporting,1933-09-23,2,4,F,V,1933,9
Montevideo Wanderers,Institucion Atletica Sud America,1933-09-23,1,1,F,E,1933,9
Nacional,CA Penarol,1933-09-23,0,2,F,V,1933,9
Rampla Juniors Futbol Club,Racing Club,1933-09-23,1,1,F,E,1933,9
CA Penarol,Institucion Atletica Sud America,1933-09-30,0,0,F,E,1933,9
Central Espanol,Bella Vista,1933-09-30,2,2,F,E,1933,9
Nacional,Defensor Sporting,1933-09-30,2,1,F,L,1933,9
Rampla Juniors Futbol Club,Montevideo Wanderers,1933-09-30,2,1,F,L,1933,9
River Plate,Racing Club,1933-09-30,1,1,F,E,1933,9
Bella Vista,Rampla Juniors Futbol Club,1933-10-07,1,4,F,V,1933,10
CA Penarol,Defensor Sporting,1933-10-07,4,0,F,L,1933,10
Central Espanol,River Plate,1933-10-07,0,1,F,V,1933,10
Institucion Atletica Sud America,Racing Club,1933-10-07,1,1,F,E,1933,10
Nacional,Montevideo Wanderers,1933-10-07,0,0,F,E,1933,10
Nacional,CA Penarol,1933-10-14,0,0,F,E,1933,10
CA Penarol,Nacional,1933-10-21,0,0,F,E,1933,10
Nacional,CA Penarol,1933-10-28,3,2,F,L,1933,10
Bella Vista,CA Penarol,1934-03-03,1,0,F,L,1934,3
Institucion Atletica Sud America,Defensor Sporting,1934-03-03,2,2,F,E,1934,3
Montevideo Wanderers,River Plate,1934-03-03,2,1,F,L,1934,3
Racing Club,Nacional,1934-03-03,0,0,F,E,1934,3
Rampla Juniors Futbol Club,Central Espanol,1934-03-03,2,0,F,L,1934,3
CA Penarol,River Plate,1934-03-10,2,0,F,L,1934,3
Central Espanol,Racing Club,1934-03-10,0,0,F,E,1934,3
Defensor Sporting,Rampla Juniors Futbol Club,1934-03-10,3,2,F,L,1934,3
Montevideo Wanderers,Bella Vista,1934-03-10,3,0,F,L,1934,3
Nacional,Institucion Atletica Sud America,1934-03-10,2,1,F,L,1934,3
Bella Vista,Racing Club,1934-03-17,1,1,F,E,1934,3
CA Penarol,Institucion Atletica Sud America,1934-03-17,3,1,F,L,1934,3
Montevideo Wanderers,Central Espanol,1934-03-17,2,1,F,L,1934,3
Nacional,Defensor Sporting,1934-03-17,4,1,F,L,1934,3
River Plate,Rampla Juniors Futbol Club,1934-03-17,0,1,F,V,1934,3
CA Penarol,Defensor Sporting,1934-03-24,1,0,F,L,1934,3
Central Espanol,River Plate,1934-03-24,2,2,F,E,1934,3
Montevideo Wanderers,Racing Club,1934-03-24,1,1,F,E,1934,3
Nacional,Bella Vista,1934-03-24,1,1,F,E,1934,3
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1934-03-24,1,0,F,L,1934,3
Bella Vista,Institucion Atletica Sud America,1934-03-31,0,0,F,E,1934,3
CA Penarol,Rampla Juniors Futbol Club,1934-03-31,3,1,F,L,1934,3
Central Espanol,Defensor Sporting,1934-03-31,4,2,F,L,1934,3
Montevideo Wanderers,Nacional,1934-03-31,2,2,F,E,1934,3
Racing Club,River Plate,1934-03-31,3,0,F,L,1934,3
CA Penarol,Racing Club,1934-04-07,3,1,F,L,1934,4
Central Espanol,Nacional,1934-04-07,1,0,F,L,1934,4
Defensor Sporting,River Plate,1934-04-07,3,1,F,L,1934,4
Institucion Atletica Sud America,Montevideo Wanderers,1934-04-07,2,1,F,L,1934,4
Rampla Juniors Futbol Club,Bella Vista,1934-04-07,0,0,F,E,1934,4
Bella Vista,Central Espanol,1934-04-14,2,0,F,L,1934,4
Montevideo Wanderers,CA Penarol,1934-04-14,1,0,F,L,1934,4
Racing Club,Defensor Sporting,1934-04-14,3,1,F,L,1934,4
Rampla Juniors Futbol Club,Nacional,1934-04-14,1,0,F,L,1934,4
River Plate,Institucion Atletica Sud America,1934-04-14,2,0,F,L,1934,4
CA Penarol,Central Espanol,1934-04-21,1,1,F,E,1934,4
Defensor Sporting,Bella Vista,1934-04-21,1,0,F,L,1934,4
Institucion Atletica Sud America,Racing Club,1934-04-21,1,0,F,L,1934,4
Montevideo Wanderers,Rampla Juniors Futbol Club,1934-04-21,1,0,F,L,1934,4
Nacional,River Plate,1934-04-21,4,2,F,L,1934,4
Central Espanol,Institucion Atletica Sud America,1934-04-28,1,1,F,E,1934,4
Defensor Sporting,Montevideo Wanderers,1934-04-28,2,1,F,L,1934,4
Nacional,CA Penarol,1934-04-28,0,0,F,E,1934,4
Racing Club,Rampla Juniors Futbol Club,1934-04-28,0,0,F,E,1934,4
River Plate,Bella Vista,1934-04-28,3,1,F,L,1934,4
CA Penarol,Bella Vista,1934-05-05,5,1,F,L,1934,5
Central Espanol,Rampla Juniors Futbol Club,1934-05-05,0,0,F,E,1934,5
Defensor Sporting,Institucion Atletica Sud America,1934-05-05,2,3,F,V,1934,5
Nacional,Racing Club,1934-05-05,1,0,F,L,1934,5
River Plate,Montevideo Wanderers,1934-05-05,0,0,F,E,1934,5
Bella Vista,Montevideo Wanderers,1934-05-12,0,5,F,V,1934,5
Institucion Atletica Sud America,Nacional,1934-05-12,0,2,F,V,1934,5
Racing Club,Central Espanol,1934-05-12,0,0,F,E,1934,5
Rampla Juniors Futbol Club,Defensor Sporting,1934-05-12,3,1,F,L,1934,5
River Plate,CA Penarol,1934-05-12,1,2,F,V,1934,5
Central Espanol,Montevideo Wanderers,1934-05-19,2,2,F,E,1934,5
Defensor Sporting,Nacional,1934-05-19,1,3,F,V,1934,5
Institucion Atletica Sud America,CA Penarol,1934-05-19,1,2,F,V,1934,5
Racing Club,Bella Vista,1934-05-19,1,0,F,L,1934,5
River Plate,Rampla Juniors Futbol Club,1934-05-19,1,1,F,E,1934,5
Bella Vista,Nacional,1934-05-26,2,2,F,E,1934,5
Defensor Sporting,CA Penarol,1934-05-26,2,0,F,L,1934,5
Institucion Atletica Sud America,Rampla Juniors Futbol Club,1934-05-26,2,1,F,L,1934,5
Racing Club,Montevideo Wanderers,1934-05-26,0,2,F,V,1934,5
