source_line,date,home,away,gh,ga,full_time,exact_duplicate,ambiguous_fixture,extra_time_or_penalties,team_date_warning,included,reason
7990,1997-09-13,Club Social Y Deportivo Huracan Buceo,CA Penarol,0,1,F,False,False,False,True,True,included
7991,1997-09-13,River Plate,Nacional,1,1,F,False,False,False,True,True,included
7992,1997-09-13,CA Penarol,Nacional,3,1,F,False,False,False,True,True,included
8027,1998-04-18,Bella Vista,Nacional,1,0,F,False,False,False,True,True,included
8028,1998-04-18,CA Penarol,Montevideo Wanderers,2,1,F,False,False,False,True,True,included
8029,1998-04-18,Rampla Juniors Futbol Club,River Plate,0,4,F,False,False,False,True,True,included
8030,1998-04-18,Liverpool,Club Social Y Deportivo Huracan Buceo,0,1,F,False,False,False,True,True,included
8032,1998-04-18,Danubio,CSyd Villa Espanola,2,1,F,False,False,False,True,True,included
8033,1998-04-18,Liverpool,CA Penarol,1,5,F,False,False,False,True,True,included
8034,1998-04-18,Nacional,Rampla Juniors Futbol Club,3,1,F,False,False,False,True,True,included
8035,1998-04-18,CSyd Villa Espanola,Rampla Juniors Futbol Club,2,0,F,False,False,False,True,True,included
8119,1998-08-29,CA Penarol,Rampla Juniors Futbol Club,5,0,F,False,False,False,True,True,included
8121,1998-08-29,Montevideo Wanderers,River Plate,0,4,F,False,False,False,True,True,included
8123,1998-08-29,Rentistas,Danubio,0,2,F,False,False,False,True,True,included
8124,1998-08-29,Liverpool,Bella Vista,0,0,F,False,False,False,True,True,included
8125,1998-08-29,River Plate,Bella Vista,0,2,F,False,False,False,True,True,included
8126,1998-08-29,Rentistas,CA Penarol,0,1,F,False,False,False,True,True,included
8127,1998-08-29,Bella Vista,Rentistas,1,0,F,False,False,False,True,True,included
8128,1998-08-29,CA Penarol,River Plate,2,0,F,False,False,False,True,True,included
8129,1998-08-29,Rentistas,River Plate,3,1,F,False,False,False,True,True,included
8130,1998-08-29,CA Penarol,Bella Vista,1,1,F,False,True,False,True,False,ambiguous_fixture
8131,1998-08-29,Bella Vista,CA Penarol,1,0,F,False,True,False,True,False,ambiguous_fixture
8155,1999-03-27,River Plate,Deportivo Maldonado,2,4,F,False,False,False,True,True,included
8156,1999-03-27,Rampla Juniors Futbol Club,Frontera Rivera Chico,1,2,F,False,False,False,True,True,included
8158,1999-03-27,Deportivo Maldonado,Frontera Rivera Chico,2,2,F,False,False,False,True,True,included
8161,1999-04-03,Tacuarembo Futbol Club,Bella Vista,1,2,F,False,False,False,True,True,included
8165,1999-04-03,Bella Vista,CA Cerro,4,0,F,False,False,False,True,True,included
8207,1999-05-22,CA Cerro,Paysandu FC,3,1,F,False,False,False,True,True,included
8210,1999-05-22,Nacional,CA Penarol,1,0,F,False,False,False,True,True,included
8214,1999-05-22,CA Cerro,Nacional,1,3,F,False,False,False,True,True,included
8215,1999-05-29,Paysandu FC,Defensor Sporting,0,1,F,False,False,False,True,True,included
8220,1999-05-29,CA Penarol,Bella Vista,2,3,F,False,False,False,True,True,included
8221,1999-05-29,Bella Vista,Paysandu FC,3,1,F,False,False,False,True,True,included
8286,1999-09-11,Liverpool,Nacional,1,2,F,False,False,False,True,True,included
8287,1999-09-11,Bella Vista,Defensor Sporting,0,0,F,False,False,False,True,True,included
8292,1999-09-11,Bella Vista,Nacional,1,4,F,False,False,False,True,True,included
8336,1999-10-30,CA Cerro,CA Penarol,0,0,F,False,False,False,True,True,included
8340,1999-10-30,Liverpool,Frontera Rivera Chico,2,3,F,False,False,False,True,True,included
8342,1999-10-30,CA Cerro,Frontera Rivera Chico,1,1,F,False,False,False,True,True,included
8343,1999-11-06,CA Penarol,Nacional,1,1,F,False,False,False,True,True,included
8346,1999-11-06,Defensor Sporting,Nacional,1,2,F,False,False,False,True,True,included
8347,1999-11-13,Nacional,CA Penarol,1,1,F,False,False,False,True,True,included
8348,1999-11-13,Nacional,Bella Vista,1,2,F,False,False,False,True,True,included
8351,1999-11-20,CA Penarol,Nacional,2,1,F,False,False,False,True,True,included
8354,1999-11-20,Nacional,Danubio,3,0,F,False,False,False,True,True,included
10398,2007-05-17,CA Penarol,Danubio,1,1,P,False,False,True,False,False,extra_time_or_penalties
12132,2014-06-08,Montevideo Wanderers,Danubio,2,2,P,False,False,True,False,False,extra_time_or_penalties
12373,2015-06-14,Nacional,CA Penarol,3,2,E,False,False,True,False,False,extra_time_or_penalties
12614,2016-06-12,CA Penarol,Plaza Colonia,3,1,E,False,False,True,False,False,extra_time_or_penalties
13033,2017-12-10,CA Penarol,Defensor Sporting,0,0,P,False,False,True,False,False,extra_time_or_penalties
13035,2017-12-18,Institucion Atletica Sud America,El Tanque Sisley,1,1,P,False,False,True,False,False,extra_time_or_penalties
13296,2018-11-11,Nacional,CA Penarol,1,2,E,False,False,True,False,False,extra_time_or_penalties
13473,2019-09-08,Liverpool,River Plate,2,2,P,False,False,True,False,False,extra_time_or_penalties
13716,2020-10-15,Nacional,Rentistas,0,1,E,False,False,True,False,False,extra_time_or_penalties
13773,2021-01-15,Nacional,Montevideo Wanderers,0,0,P,False,False,True,False,False,extra_time_or_penalties
13894,2021-04-01,Rentistas,Liverpool,1,1,P,False,False,True,False,False,extra_time_or_penalties
14137,2021-12-08,Plaza Colonia,CA Penarol,1,1,P,False,False,True,False,False,extra_time_or_penalties
14435,2022-10-30,Liverpool,Nacional,1,4,E,False,False,True,False,False,extra_time_or_penalties
15185,2025-06-17,Montevideo Wanderers,Defensor Sporting,0,0,F,True,False,False,False,False,exact_duplicate
