date,home,away,winner,model,joint_log_E,log_probability_E,joint_log_L,log_probability_L,joint_log_V,log_probability_V
2025-02-01,Danubio,Liverpool,E,NB propio,-11.67988830682901,-1.0558457305012041,-11.823613026743935,-1.1995704504161289,-11.67164343364175,-1.0476008573139435
2025-02-01,Defensor Sporting,Boston River,L,NB propio,-12.51725527894475,-1.5550580196472374,-11.290964246744576,-0.3287669874470627,-13.63566999127336,-2.6734727319758473
2025-02-02,CA Progreso,CA Penarol,V,NB propio,-12.272500748936837,-2.144286943774155,-13.533723977608837,-3.4055101724461547,-10.29113449312344,-0.16292068796075831
2025-02-02,Miramar Misiones,Plaza Colonia,V,NB propio,-11.728775047681482,-1.0670673874887928,-11.806551735461193,-1.1448440752685034,-11.747273758327086,-1.0855660981343966
2025-02-02,Torque FC,Nacional,L,NB propio,-12.620099494081982,-1.6533568381287775,-12.374203371906892,-1.4074607159536878,-11.539745730957922,-0.573003075004717
2025-02-03,CA Cerro,River Plate,E,NB propio,-12.183753170115306,-0.985165542245344,-12.38253037061898,-1.183942742749018,-12.33629532399861,-1.1377076961286487
2025-02-03,Montevideo Wanderers,Racing Club,E,NB propio,-11.91710715325071,-1.4868451007193286,-12.648730928741553,-2.2184688762101725,-10.838020292680643,-0.40775824014926165
2025-02-07,Cerro Largo FC,CA Progreso,L,NB propio,-12.626050905897193,-2.0549380012997176,-10.726882633780813,-0.1557697291833371,-14.697381712854693,-4.126268808257217
2025-02-08,Liverpool,Miramar Misiones,L,NB propio,-12.303694618067192,-1.4708867865136064,-11.160889933744011,-0.3280821021904252,-13.829051425759953,-2.9962435942063674
2025-02-08,Plaza Colonia,Montevideo Wanderers,L,NB propio,-12.031055934433676,-1.381468906147779,-11.032481390314835,-0.3828943620289387,-13.35405675911522,-2.7044697308293237
2025-02-08,Racing Club,CA Cerro,V,NB propio,-12.531686886372443,-1.611243375032677,-11.210215746684097,-0.2897722353443317,-13.87836468470724,-2.957921173367474
2025-02-08,River Plate,Defensor Sporting,V,NB propio,-12.44602445368227,-1.1540266252884468,-12.276669583668685,-0.9846717552748618,-12.459722865664483,-1.1677250372706602
2025-02-09,Boston River,Torque FC,E,NB propio,-12.175993243968431,-2.158760112026396,-13.752030326952333,-3.734797195010298,-10.167296093180571,-0.15006296123853602
2025-02-09,CA Juventud,Danubio,E,NB propio,-12.083702580529721,-0.9827900958926357,-12.736386802760759,-1.6354743181236735,-11.942850500374727,-0.8419380157376413
2025-02-09,Nacional,CA Penarol,E,NB propio,-12.703894728119144,-1.5480220872949157,-12.069201181693911,-0.9133285408696832,-12.1074145337063,-0.9515418928820729
2025-02-14,CA Cerro,Plaza Colonia,V,NB propio,-11.921376870331342,-1.280030568202891,-12.099446735854759,-1.4581004337263082,-11.356139360810392,-0.7147930586819413
2025-02-15,CA Penarol,Boston River,E,NB propio,-12.881566277589892,-3.0795503133048943,-9.852474212010845,-0.05045824772584773,-15.538390084205886,-5.736374119920889
2025-02-15,Danubio,Cerro Largo FC,E,NB propio,-11.954843896769022,-1.7397032212941728,-13.273351102563328,-3.058210427088479,-10.466869133059063,-0.251728457584214
2025-02-15,Montevideo Wanderers,Liverpool,E,NB propio,-11.90742204294122,-1.7649283778522395,-13.206194883157796,-3.0637012180688146,-10.3882836240726,-0.2457899589836181
2025-02-16,CA Progreso,Nacional,V,NB propio,-12.1727070083388,-1.644898038071343,-13.396408016347749,-2.8685990460802913,-10.815238619327669,-0.2874296490602113
2025-02-16,Defensor Sporting,Racing Club,L,NB propio,-12.548592525661403,-1.558624461487435,-11.364413555114657,-0.3744454909406887,-13.273690314042096,-2.283722249868127
2025-02-16,Miramar Misiones,CA Juventud,V,NB propio,-11.860196717848499,-0.9979391834231865,-12.66619934913911,-1.8039418147137969,-11.624298194461156,-0.7620406600358436
2025-02-17,Torque FC,River Plate,L,NB propio,-12.653351064658676,-1.5675505211517997,-11.43143573237419,-0.34563518886731437,-13.566628146669105,-2.480827603162229
2025-02-21,Racing Club,Torque FC,L,NB propio,-12.288821764732498,-1.87570325281078,-13.416935005465241,-3.003816493543523,-10.63982411973117,-0.2267056078094516
2025-02-22,Boston River,Nacional,V,NB propio,-12.1324240129603,-1.811437639141424,-13.55678304949766,-3.2357966756787846,-10.54757070076731,-0.22658432694843356
2025-02-22,Cerro Largo FC,Miramar Misiones,L,NB propio,-12.333221365992424,-1.5845328678744544,-11.047084060958548,-0.2983955628405788,-13.68712071324289,-2.938432215124921
2025-02-22,Liverpool,CA Cerro,L,NB propio,-12.206115975955006,-1.6144754421332426,-10.868301489035714,-0.2766609552139503,-13.745351063347709,-3.153710529525945
2025-02-23,CA Juventud,Montevideo Wanderers,L,NB propio,-11.437392646537642,-0.9601446366223492,-12.030802758951772,-1.5535547490364792,-11.379469022657814,-0.9022210127425208
2025-02-23,Danubio,CA Progreso,E,NB propio,-11.962938794027886,-0.8981198618903132,-11.89105712799704,-0.8262381958594673,-12.92932648675125,-1.8645075546136773
2025-02-23,Plaza Colonia,Defensor Sporting,V,NB propio,-12.620099494081982,-1.6533568381287775,-12.374203371906892,-1.4074607159536878,-11.539745730957922,-0.573003075004717
2025-02-24,River Plate,CA Penarol,E,NB propio,-12.126654353232869,-1.8540806461115498,-13.708103183153906,-3.4355294760325865,-10.48182075935242,-0.20924705223110074
